(주)대명레저산업,강원도 홍천군 서면 한치골길 262,-,033-439-7951,오션월드,25102,정상,,1
(주)성호리조트-주식회사 이지데코,경상북도 경주시 외동읍 영지로 636,-,054-745-5100,(주)성호리조트-주식회사 이지데코,38203,정상,,2
람정제주개발 주식회사,제주특별자치도 서귀포시 안덕면 녹차분재로 217,-,064-908-3893,신화테마파크,63522,정상,,3
나주관광개발(주),전라남도 나주시 나평읍 나주호로 442-129,,061-339-5040,중흥골드스파&amp;리조트,58231,정상,,4
(주)대명티피앤이,강원도 홍천군 서면 한치골길 264,대명비발디파크,033-439-8355,(주)대명티피앤이,25102,휴업,,5
일상해양산업(주),전남 여수시 소호로 295(소호동),,1588-0377,디오션리조트,59670,휴업,,6
주식회사 대명레저,충청남도 천안시 동남구 성남면 종합휴양지로,200,041-901-8055,소노벨 천안,31246,정상,,7
삼성물산(주)에버랜드리조트,경기도 용인시 처인구 포곡읍 에버랜드 199,0,031-320-8421,캐리비안베이,17023,휴업,,8
(주)웅진플레이도시,경기도 부천시 원미구 상동 572-1,,032-310-8110,(주)웅진플레이도시,14592,휴업,,9
(주)이월드,대구광역시 달서구 두류공원로 200 (두류동),,053-620-0170,(주)이월드,42666,휴업,,10
(주)스파밸리,대구광역시 달성군 가창면 가창로 891,,053-608-5067,(주)스파밸리,42938,휴업,,11
썬비치워터파크,경남 창원시 진해구 여좌천로 206 (태백동),,055-548-7355,썬비치워터파크,51688,폐업,2019-07-25,12
금호리조트(주),충청남도 아산시 음봉면 아산온천로157번길 67,-,041-539-2041,금호리조트(주)아산스파비스,31442,휴업,,13
(주) 캐슬호텔앤리조트,서울특별시 강남구 봉은사로 143,운현오피스텔 101호,,(주)캐슬호텔앤리조트,11723,휴업,,14
오월드,대전광역시 중구 사정공원로 70,(사정동/ 번지외),042-580-4831,오월드,35073,휴업,,15
아이랜드(주),서울특별시 광진구 능동로 216 (능동/ 어린이대공원내놀이동산),,02-454-4442,어린이대공원,4991,정상,,16
(주)하이원추추파크,강원도 삼척시 도계읍 심포남길 99,,033-550-7814,하이원추추파크 삼척,25952,정상,,17
9.81 PARK JEJU,제주특별자치도 제주시 애월읍 천덕로 880-24,-,064-801-0001,9.81 PARK JEJU,63038,정상,,18
(주)대명레저산업 거제지점,경남 거제시 일운면 거제대로,2660,055-733-7311,오션베이,53326,휴업,,19
(주)동일리조트,경남 양산시 하북면 통도7길 68,,,(주)동일리조트 통도환타지아,50502,휴업,,20
클럽마스타주식회사,충청남도 보령시 대해로 876 (신흑동),,041-930-2000,호텔마스타대천워터파크,33488,휴업,,21
(주)호텔롯데 롯데월드,경남 김해시 장유로 555 (신문동),,055-900-0501,롯데워터파크,51011,휴업,,22
(주)강원랜드,강원도 정선군 사북읍 고한7길 399,-,033-590-7926,(주)강원랜드,26154,휴업,,23
주식회사 블루원,경주시 보불로 391(천군동),,054-778-9092,블루원 워터파크,38118,정상,,24
광주패밀리랜드(주),광주광역시 북구 우치로 677 (생용동),-,062-607-8000,광주패밀리랜드(주),61028,정상,,25
(주)에이케이레저,경기도 남양주시 화도읍 경춘로2347번길 29,4동 1층/ 2층,031-591-7657,(주)에이케이레저,12188,정상,,26
해강개발주식회사강화리조트,인천광역시 강화군 길상면 장흥로 223-3,선두리 4-15,032-930-9023,해강개발주식회사강화리조트,23052,정상,,27
(주)한국엘에스레져김해지점,경상남도 김해시 장유로 469,롯데아울렛,053-525-4302,(주)한국엘에스레져김해지점,51011,정상,,28
곡성군청,전라남도 곡성군 오곡면 기차마을로 232,-,061-360-8644,전남곡성군청,58143,정상,,29
고구려기획,경기도 평택시 중앙1로 42,(통복동 77),,고구려기획,57222,정상,,30
롯데리조트 속초,강원도 속초시 대포항길 186,롯데리조트속초,033-634-1301,롯데리조트 속초,24900,정상,,31
구미산업개발(주),경상북도 구미시 금오산로 339,금오랜드,054-451-8500,금오랜드,39309,정상,,32
금호리조트(주),충청남도 아산시 음봉면 아산온천로157번길 67,-,041-539-2041,금호리조트㈜ 화순,58101,정상,,33
주식회사 피더블유피,서울특별시 금천구 가산디지털1로 52(가산동),-,02-6925-2900,파크하비오(워터킹덤),5837,정상,,34
삼성물산(주)에버랜드리조트,경기도 용인시 처인구 포곡읍 에버랜드 199,0,031-320-8421,에버랜드,17023,정상,,35
(주)성원레저,경기도 파주시 조리읍 장곡로 218,,031-945-2250,하니랜드,10940,정상,,36
대천필랜드,충청남도 보령시 대해로 860 (신흑동),,041-932-9860,대천필랜드,33488,정상,,37
조원관광진흥(주),경기도 용인시 기흥구 민속촌로 90,,031-288-0000,한국민속촌 가족공원,17075,정상,,38
가야개발(주),경남 김해시 인제로 368 (삼방동),,055-330-0761,가야랜드,50811,정상,,39
(주)원마운트,경기도 고양시 일산서구 한류월드로 300,,1566-2232,(주)원마운트,10392,정상,,40
신세계건설(주),경기도 하남시 미사대로 750 (신장동/ 스타필드 하남),,031-8072-8800,아쿠아필드하남,12942,정상,,41
동광종합토건,경기도 여주시 강변유원지길 45(연양동),,031-880-3871,(주)썬밸리호텔,12634,정상,,42
강원도개발공사알펜시아스포츠파크,강원도 평창군 대관령면 솔봉로 325,,033-339-0101,알펜시아 오션700,25351,정상,,43
(주)서울랜드,경기도 과천시 광명로 181 (막계동),,02-509-6311,(주)서울랜드,13829,정상,,44
(주)용평리조트,강원도 평창군 대관령면 용산리 130,-,033-330-7103,용평리조트,25352,정상,,45
(주)용평리조트,강원도 평창군 대관령면 용산리 130,-,033-330-7103,용평피크아일랜드,25352,정상,,46
삼봉개발(주),경주시 보문로 544(천군동),,054-745-7711,경주월드,38117,정상,,47
한화호텔앤드리조트㈜,서울특별시 영등포구 63로 50/ 12층,,054-777-8400,설악워터피아,24801,정상,,48
(주)호텔롯데롯데월드,서울특별시 송파구 올림픽로 240 (잠실동/ 송파우체국사서함 66),,02-411-3203,(주)호텔롯데롯데월드,5554,정상,,49
공무원연금공단 천안상록리조트,충청남도 천안시 동남구 수신면 수신로 576,-,041-560-9055,상록랜드,31251,정상,,50
(주)휘닉스중앙평창,강원도 평창군 봉평면 면온리 1095,,033-330-6000,블루캐니언,25307,정상,,51
육림랜드,강원도 춘천시 영서로 2965 (사농동),,033-252-7226,육림랜드,24235,정상,,52
천사의 아침,인천광역시 강화군 화도면 해안남로1502번길 21-31,,032-937-9612,천사의 아침,23062,정상,,53
울주군청,울산광역시 울주군 청량읍 군청로 1,울주군청,052-204-0344,영남알프스 복합웰컴센터,44959,정상,,54
(주)수성랜드,대구광역시 수성구 용학로 35-5 (상동),,053-762-6622,(주)수성랜드,42202,정상,,55
(주)워렉스(화순지점),전라남도 화순군 한천면 죽헌로 376-37,-,,(주)워렉스(화순지점),58147,정상,,56
(주)롯데월드 키즈파크,서울특별시 은평구 통일로 1050/롯데몰3-4층 (진관동),,02-6916-2130,(주)롯데월드 언더씨킹덤,3306,폐업,2020-05-31,57
만리포비취랜드,충청남도 태안군 소원면 만리포2길 2/ 201호(만리포연립),만리포연립,,만리포비취랜드,32123,정상,,58
두리랜드,경기도 양주시 장흥면 권율로 120/ 1층,,031-855-8515,두리랜드,11520,정상,,59
카니발 랜드,충청북도 진천군 진천읍 농다리로 1434,-,,안동탈춤축제장,36709,폐업,2019-10-06,60
별비치워터파크,경기도 가평군 북면 멱골로 334,-,,별비치워터파크,12403,정상,,61
코레일관광개발(주)강원지사,강원도 강릉시 강동면 정동역길 17,,033-655-7786,정동진레일바아크,25631,정상,,62
(주)파라다이스 도고지점,충청남도 아산시 도고면 도고온천로 176,,041-537-7140,(주)파라다이스 도고지점,31547,정상,,63
(주)와이제이레저산업,인천광역시 중구 용유서로 379,,032-745-9037,골든스파,22383,휴업,,64
무안군회산백련지시설사업소,전라남도 무안군 일로읍 백련로 527,백련모텔리조트,061-287-5575,회산백련지 물놀이장,58571,정상,,65
동림기업,대구광역시 달성군 하빈면 묘동3길 117/ 1층,,053-521-2222,동림기업,42900,폐업,2018-05-24,66
플러스원씨엔에스(주),경남 하동군 금남면 경충로 493-37,,055-883-1064,하동스윙점프,52351,폐업,2018-05-31,67
홈플러스놀이동산,경남 창원시 마산회원구 삼호로 56 홈플러스6층,,055-255-6091,홈플러스놀이동산,51320,폐업,2018-10-29,68
주식회사 현대백화점 판교점,경기도 성남시 분당구 판교역로146번길 20,,02-556-7855,주식회사 현대백화점 판교점,13529,폐업,2018-08-27,69
주식회사 케이엔터테인먼트,경기도 광명시 오리로 970 / 4층 코코몽어드벤처 광명점(광명동/ 크로앙스),,02-2066-3578,코코몽어드벤처 광명점,14220,폐업,2018-11-13,70
필에이전시,경남 김해시 가락대로 929-1 (수가동),,,필에이전시,51021,폐업,2017-10-10,71
보성녹차사업소,전라남도 보성군 보성읍 녹차로 750,,061-850-5955,율포해수풀장,59471,폐업,2017-06-30,72
고성군관광지사업소,경상남도 고성군 회화면 당항만로 1116,,055-670-4524,고성군관광지사업소,52915,휴업,,73
백련캠핑장,전라남도 무안군 일로읍 백련로 527,백련모텔리조트,061-287-5575,백련캠핑장,58571,휴업,,74
변산리조트,전라북도 부안군 변산면 격포로 469,-,063-584-1700,변산리조트_,56340,휴업,,75
김포캠핑파크 주식회사,경기도 김포시 월곶면 용강로 325,-,,김포캠핑파크 주식회사,10001,정상,,76
주식회사 엠세븐,서울특별시 강남구 언주로 732,세종빌딩,,주식회사 엠세븐,6054,정상,,77
(주)경기일보,경기도 수원시 장안구 경수대로973번길 6,경기일보,031-250-3360,(주)경기일보(인천),22005,정상,,78
